contestId,name,Problem_url,tags
1709,Recover an RBS,https://codeforces.com/contest/1709/problem/C,"['constructive algorithms', 'greedy', 'implementation', 'strings']"
1808,Unlucky Numbers,https://codeforces.com/contest/1808/problem/C,"['brute force', 'dp', 'greedy', 'implementation']"
1783,Yet Another Tournament,https://codeforces.com/contest/1783/problem/C,"['binary search', 'greedy', 'sortings']"
1767,Count Binary Strings,https://codeforces.com/contest/1767/problem/C,"['data structures', 'dp']"
1695,Zero Path,https://codeforces.com/contest/1695/problem/C,"['brute force', 'data structures', 'dp', 'graphs', 'greedy', 'shortest paths']"
1715,Monoblock,https://codeforces.com/contest/1715/problem/C,"['combinatorics', 'data structures', 'implementation', 'math']"
1620,BA-String,https://codeforces.com/contest/1620/problem/C,"['brute force', 'dp', 'greedy', 'implementation', 'math']"
1658,Shinju and the Lost Permutation,https://codeforces.com/contest/1658/problem/C,"['constructive algorithms', 'math']"
1494,1D Sokoban,https://codeforces.com/contest/1494/problem/C,"['binary search', 'dp', 'greedy', 'implementation', 'two pointers']"
1493,K-beautiful Strings,https://codeforces.com/contest/1493/problem/C,"['binary search', 'brute force', 'constructive algorithms', 'greedy', 'strings']"
1453,Triangles,https://codeforces.com/contest/1453/problem/C,"['greedy', 'implementation']"
1848,Vika and Price Tags,https://codeforces.com/contest/1848/problem/C,"['math', 'number theory']"
1554,Mikasa,https://codeforces.com/contest/1554/problem/C,"['binary search', 'bitmasks', 'greedy', 'implementation']"
1550,Manhattan Subarrays,https://codeforces.com/contest/1550/problem/C,"['brute force', 'geometry', 'greedy', 'implementation']"
1509,The Sports Festival,https://codeforces.com/contest/1509/problem/C,"['dp', 'greedy']"
1763,Another Array Problem,https://codeforces.com/contest/1763/problem/C,"['brute force', 'constructive algorithms', 'greedy']"
1463,Busy Robot,https://codeforces.com/contest/1463/problem/C,['implementation']
1543,Need for Pink Slips,https://codeforces.com/contest/1543/problem/C,"['bitmasks', 'brute force', 'dfs and similar', 'implementation', 'math', 'probabilities']"
1661,Water the Trees,https://codeforces.com/contest/1661/problem/C,"['binary search', 'greedy', 'math']"
1467,Three Bags,https://codeforces.com/contest/1467/problem/C,"['constructive algorithms', 'greedy']"
1525,Robot Collisions,https://codeforces.com/contest/1525/problem/C,"['data structures', 'greedy', 'implementation', 'sortings']"
1716,Robot in a Hallway,https://codeforces.com/contest/1716/problem/C,"['data structures', 'dp', 'greedy', 'implementation', 'ternary search']"
1521,Nastia and a Hidden Permutation,https://codeforces.com/contest/1521/problem/C,"['constructive algorithms', 'interactive']"
1556,Compressed Bracket Sequence,https://codeforces.com/contest/1556/problem/C,"['brute force', 'implementation']"
1688,Manipulating History,https://codeforces.com/contest/1688/problem/C,"['constructive algorithms', 'greedy', 'strings']"
1516,Baby Ehab Partitions Again,https://codeforces.com/contest/1516/problem/C,"['bitmasks', 'constructive algorithms', 'dp', 'math']"
1557,Moamen and XOR,https://codeforces.com/contest/1557/problem/C,"['bitmasks', 'combinatorics', 'dp', 'math', 'matrices']"
1478,Nezzar and Symmetric Array,https://codeforces.com/contest/1478/problem/C,"['implementation', 'math', 'sortings']"
1731,Even Subarrays,https://codeforces.com/contest/1731/problem/C,"['bitmasks', 'brute force', 'hashing', 'math', 'number theory']"
1841,Ranom Numbers,https://codeforces.com/contest/1841/problem/C,"['brute force', 'dp', 'greedy', 'math', 'strings']"
